ID;Nom;Categorie;Photo;Reference;EstDansCarte;Remarque;Sync_Prix;EstCocktail;Quantite;ID_VERRE;DateCreation;estBrochette;Ref_Lettre;Ref_Chiffre;Ref_DerniereLettre
29;Le manège enchanté ;Mocktail;0x;A35;1;verre boule sa ;10;1;100;8;38504;1;A;35;
30;la bataille des planètes ;Mocktail;0x;A36;1;"Verre boule sa

";10;1;100;8;38504;1;A;36;
31;Ken le survivant ;Mocktail;0x;A37;1;verre diamant plat + bt retournee ;10;1;100;8;39234;1;A;37;
32;Nicky Larson;Mocktail;0x;A38;1;verre diamant plat + bt retournee ;10;1;100;8;39234;1;A;38;
33;Donald duck;Mocktail;0x;A39;1;"Verre strier large 

";10;1;100;8;38504;1;A;39;
34;les entrechats ;Mocktail;0x;A4;1;"Verre strier large 

";10;1;100;8;36404;1;A;4;
35;Les 3 p'tits Cochons;Mocktail;0x;A40;1;verre diamant plat bt retournee ;10;1;100;8;38504;1;A;40;
36;Gigi;Mocktail;0x;A41;1;"Verre diamant GRAND

";10;1;100;8;40118;1;A;41;
37;Cherry baby;mojito party;0x;M0B;1;verre strier;10;1;100;8;39600;1;M;0;B
38;Sailor Moon;Mocktail;0x;A43;1;verre urne ;10;1;100;8;38504;1;A;43;
39;Winx;Mocktail;0x;A44;1;verre diamant plat;10;1;100;8;38504;1;A;44;
40;satanas et Diabolo;Mocktail;0x;A45;1;verre boule sa ;10;1;100;8;39600;1;A;45;
41;La famille pirate ;Mocktail;0x;A46;1;"Verre cruche 

";10;1;100;8;38504;1;A;46;
42;Marcelino;Mocktail;0x;A47;1;"Verre S.A.

";10;1;100;8;39600;1;A;47;
43;Le laboratoire de DeXter;Mocktail;0x;A48;1;"Verre boule

";10;1;100;8;38504;1;A;48;
44;Fizzy india  (-16ans!!);Mocktail;0x;A49;1;verre palladio;10;1;50;4;39600;1;A;49;
45;Totaly spies ;Mocktail;0x;A5;1;"Verre pot de chambre 

";10;1;100;8;39234;1;A;5;
46;Les super nanas;Mocktail;0x;A50;1;verre strier large ;10;1;100;8;39600;1;A;50;
47;Cat's Eyes;Mocktail;0x;A51;1;verre disque ;10;1;100;8;40330;1;A;51;
48;Lamu;Mocktail;0x;A52;1;verre ananas large ;10;1;100;8;36312;1;A;52;
49;Boumbo;Mocktail;0x;A53;1;"Verre diamant Long

";10;1;100;8;39965;1;A;53;
50;hunter D;Mocktail;0x;A54;1;verre disque ;10;1;100;8;39965;1;A;54;
51;Dora l'exploratrice;Mocktail;0x;A55;1;verre disque ;10;1;100;8;39600;1;A;55;
52;Garfield;Mocktail;0x;A56;1;verre boule sa ;10;1;100;8;39600;1;A;56;
53;Aladdin;Mocktail;0x;A57;1;verre boule sa ;10;1;100;8;39600;1;A;57;
54;GunDam;Mocktail;0x;A58;1;verre pot de chambre ;10;1;100;8;39600;1;A;58;
55;Kaeloo;Mocktail;0x;A59;1;verre diamant plat;10;1;100;8;41000;1;A;59;
56;Les Zinzins de l'espace;Mocktail;0x;A6;1;verre strier ;10;1;100;8;39600;1;A;6;
57;Nemo;Mocktail;0x;A60;1;"Verre strier 

";10;1;100;8;39600;1;A;60;
58;Oui-Oui;Mocktail;0x;A61;1;verre disque ;10;1;100;8;40695;1;A;61;
59;Nono le petit robot;Mocktail;0x;A62;1;verre urne ;10;1;100;8;40695;1;A;62;
60;Ulysse 31;Mocktail;0x;A101;1;"Verre boule sa

";10;1;100;8;40695;1;A;101;
61;Street fighter(-16ans!!);Mocktail;0x;A111;1;verre monster !!!dans lordre ;10;1;100;8;40695;1;A;111;
62;xxxxxxxxxxxxx;Mocktail;0x;A200;0;"Verre S.A.

";10;1;100;8;39600;1;A;200;
63;Playstation;Mocktail;0x;A66;1;verre strier ;10;1;100;8;40695;1;A;66;
64;Yakari;Mocktail;0x;A67;1;verre disque ;10;1;100;8;40695;1;A;67;
65;Raz bitume;Mocktail;0x;A68;1;verre diamant plat;10;1;100;8;39600;1;A;68;
66;Robotech;Mocktail;0x;A69;1;verre diamant lg;10;1;100;8;39600;1;A;69;
67;Cosmo cat's;Mocktail;0x;A127;1;verre urne ;10;1;100;8;38657;1;A;127;
68;Peter Pan;Mocktail;0x;A70;1;verre disque ;10;1;100;8;39600;1;A;70;
69;Ben10 (-16ans!!);Mocktail;0x;A71;1;verre strier ;10;1;100;8;40817;1;A;71;
70;Lapin cretin(-16ans!!);Mocktail;0x;A72;1;"Verre diamant plat

";10;1;100;8;40817;1;A;72;
71;Tom Sawyer (-16ans!!);Mocktail;0x;A73;1;"Verre strier 

";10;1;100;8;40817;1;A;73;
72;Toy story(-16ans!!);Mocktail;0x;A74;1;verre strier ;10;1;100;8;40817;1;A;74;
73;GTA VI(-16ans!!);Mocktail;0x;A75;1;verre diamant ;10;1;100;8;40817;1;A;75;
74;Loco Dojo vr(-16ans!!);Mocktail;0x;A76;1;verre diamant ;10;1;100;8;39600;1;A;76;
75;Sab Rider (-16ans!!);Mocktail;0x;A77;1;"Verre strier 

";10;1;100;8;39600;1;A;77;
76;Kirikou;Mocktail;0x;A65;1;"Verre cruche 

";10;1;100;8;39600;1;A;65;
77;pollux (-16ans!!);Mocktail;0x;A79;1;verre organique plat;10;1;100;8;40330;1;A;79;
78;Les Snorky;Mocktail;0x;A8;1;"VERRE tour a empiler 

";10;1;100;8;35582;1;A;8;
79;Big mouth;Freaky SA;0x;L0A;1;verre diamant lg/facon freaky/bien melanger ;13;1;50;6;40603;1;L;0;A
80;Akira;Mocktail;0x;A121;1;verre boule ;10;1;100;8;41527;1;A;121;
81;Albator ;Mocktail;0x;A82;1;verre diamant plat;10;1;100;8;41583;1;A;82;
82;Kid Paddle;Mocktail;0x;A9;1;"VERRE urne+cerise marascin

";10;1;100;8;36251;1;A;9;
83;Fantomas;signature;0x;B1;1;verre palladio/mixz2c(b1):8cl+ 2 s bbl gum+energy+methode+2 vdk rouge;13;1;50;4;38838;1;B;1;
84;Archimède;signature;0x;B10;1;"verre weizenbeer/Glace pilée/fluo/décos vip

";13;1;50;7;40544;1;B;10;
85;Dark babor;signature;0x;B11;1;"Verre palladio

";13;1;50;4;38838;1;B;11;
86;Narco;signature;0x;B12;1;verre cognac/mix z2m(b12): 10cl + limonade + fluo;12;1;50;6;38838;1;B;12;
87;Why not;Expressions préférées;0x;P7;1;verre coupe a glace ;12;1;50;6;38838;1;P;7;
88;Do or die;signature;0x;B14;1;verre bartender ;12;1;65;5;38838;1;B;14;
89;Dragonzaure;signature;0x;B15;1;coupe à glace ;13;1;50;4;40299;1;B;15;
90;Katagena;signature;0x;B16;1;verre cabernet;12;1;50;5;38838;1;B;16;
91;Père damien;signature;0x;B17;1;verre coupe plate ;13;1;50;6;38838;1;B;17;
92;Chikitone;signature;0x;B18;1;verre coupe a glace ;12;1;65;5;38838;1;B;18;
93;Scrattlantide;signature;0x;B19;1;verre weizenbeer ;13;1;75;7;38838;1;B;19;
94;Saloperie;signature;0x;B2;1;verre E8;12;1;50;6;38838;1;B;2;
95;Hiroshima;signature;0x;B20;1;verre weizenbeer ;13;1;75;7;40299;1;B;20;
96;Bison bourré;Expressions préférées;0x;P8;1;"Verre palladio

";13;1;50;4;38838;1;P;8;
97;Morning red;signature;0x;B22;1;verre sangria ;12;1;65;5;38838;1;B;22;
98;Belzébuth;signature;0x;B23;1;verre tiki pt ;12;1;65;5;38838;1;B;23;
99;Juju;signature;0x;B24;1;"verre cabernet/Shaker

";12;1;50;5;38838;1;B;24;
100;Taxi brousse;freaky;0x;L26;1;verre palladio/melanger/facon freaky;15;1;50;4;38838;1;L;26;
101;L'erreur;signature;0x;B26;1;verre sangria piang apres l orangeade;12;1;50;6;38838;1;B;26;
102;Cancer;cocktails astrales;0x;Z3J;1;"arrosoir/tt fois 2

";25;1;200;15;38838;1;Z;3;J
103;Baback;freaky;0x;L27;1;verre cognac/facon freaky/bien melanger ;15;1;65;5;38838;1;L;27;
104;Boum boum;signature;0x;B29;1;verre tiki pt;12;1;50;5;38838;1;B;29;
105;Laissbroef;signature;0x;B3;1;verre sangria ;12;1;65;5;38838;1;B;3;
106;ZZ top;hardcore;0x;Y0P;1;;25;1;75;7;38838;1;Y;0;P
107;Elena;signature;0x;B31;1;verre bartender ;13;1;65;5;40544;1;B;31;
108;Bang Bang valentin;grand format;0x;Z5K;1;"Arrosoir

";25;1;200;15;39203;1;Z;5;K
109;Rondoudou;signature;0x;B33;1;"Shaker/verre à sangria 

";12;1;50;5;38838;1;B;33;
110;Zonzon;signature;0x;B34;1;verre tiki gd;12;1;50;5;38838;1;B;34;
111;Livre de la jungle;signature;0x;B35;1;verre ananas ;12;1;50;6;39203;1;B;35;
112;Rango;signature;0x;B36;1;"verre palladio/Glace pilée/fluo/décos vip

";13;1;50;4;39569;1;B;36;
113;BB d'ange;signature;0x;B37;1;verre palladio ;13;1;50;4;39569;1;B;37;
114;Freud;signature;0x;B38;1;verre tiki pt;12;1;50;5;39569;1;B;38;
115;Natacha;hardcore;0x;Y0K;1;verre weizenbeer ;25;1;75;7;39934;1;Y;0;K
116;Naimattack;signature;0x;B4;1;verre palladio;13;1;50;4;38838;1;B;4;
117;Happy fanny;signature;0x;B40;1;"verre palladio

";13;1;50;4;39569;1;B;40;
118;Tich;signature;0x;B41;1;verre coupe a glace;12;1;50;5;38838;1;B;41;
119;Meli melo;signature;0x;B42;1;verre tiki gd;12;1;65;5;38838;1;B;42;
120;Lekelke c est;signature;0x;B43;1;verre palladio;13;1;50;4;38838;1;B;43;
121;Marilyn;signature;0x;B44;1;verre cabernet;12;1;50;5;38838;1;B;44;
122;ThanaMan;signature;0x;B45;1;verre skull;13;1;50;4;44795;1;B;45;
123;Savages;films & series incontournables;0x;D84;1;verre tiki gd/2s framboise + 10 mix Z2e(b51)+2 L. ananas+limonade;12;1;50;6;40664;1;D;84;
124;Predator;signature;0x;B47;1;verre weizenbeer;12;1;50;6;38838;1;B;47;
125;Ace ventura;signature;0x;B48;1;verre sangria ;12;1;65;5;38838;1;B;48;
126;Luciano;signature;0x;B49;1;verre palladio;13;1;50;4;38838;1;B;49;
127;Red jf;signature;0x;B5;1;verre weizenbeer ;13;1;75;7;38838;1;B;5;
128;samourai de l'espace;signature;0x;B50;1;verre coupe ;12;1;50;6;40664;1;B;50;
129;Bonobo;signature;0x;B51;1;verre cabernet/2s framboise + 10 mix Z2e(b51)+j fraise;12;1;50;5;40299;1;B;51;
130;Mange tes vivants;Expressions préférées;0x;P9;1;verre tiki pt ;12;1;65;5;38473;1;P;9;
131;Cardon logistique;signature;0x;B53;1;verre v25;13;1;50;6;39203;1;B;53;
132;Capone;freaky;0x;L2;1;verre strier/ freaky/8cl Z2X(mix capone)+2 l caramel+cafe glace+chantilly+deco freaky ;15;1;50;4;38473;1;L;2;
133;Raztakouan;signature;0x;B55;1;verre sangria ;12;1;65;5;38838;1;B;55;
134;Liloux;signature;0x;B56;1;verre cabernet ;12;1;50;5;38838;1;B;56;
135;Flambardement;signature;0x;B57;1;verre coupe a glace ;12;1;50;6;40299;1;B;57;
136;Courir le Guilledou;signature;0x;B58;1;verre sangria ;12;1;50;6;38838;1;B;58;
137;Moogly;signature;0x;B59;1;;12;1;50;5;38838;1;B;59;
138;Vass;signature;0x;B6;1;verre ananas ;13;1;50;6;38838;1;B;6;
139;Twilight;films & series incontournables;0x;D91;1;verre palladio;13;1;35;3;40299;1;D;91;
140;Chabal;signature;0x;B61;1;verre sangria ;12;1;50;5;38838;1;B;61;
141;Max;hardcore;0x;Y0;1;verre weizenbeer ;25;1;75;7;38108;1;Y;0;
142;Max d'été;hardcore;0x;Y0D;1;verre fist ;25;1;50;7;38473;1;Y;0;D
143;Très coco;Oompa LoOmpa;0x;F13;1;verre tete de lego+barbe papa coco;12;1;35;3;39934;1;F;13;
144;Etoile noire;hardcore;0x;Y0F;1;verre weizenbeer ;25;1;50;7;39934;1;Y;0;F
145;Buy me;signature;0x;B66;1;verre palladio/2 s framboise+15 mix z2a mix razz+2 L.fraise+energy+cava+j.fraise;13;1;75;7;40299;1;B;66;
146;Noemaniak;signature;0x;B67;1;verre weizenbeer ;13;1;75;7;40299;1;B;67;
147;Dandy punk;signature;0x;B68;1;verre sangria ;12;1;50;6;40299;1;B;68;
148;Aly Baby;hardcore;0x;Y2C;1;verre monster ;25;1;75;7;44411;1;Y;2;C
149;Black mojito;mojito party;0x;M6;1;"verre ananas/Menthe fraîche/piler/glace pilée/broyeur

";12;1;50;6;40909;1;M;6;
150;B0PE DO BRAZIL;signature;0x;B70;1;verre bartender ;13;1;50;4;40664;1;B;70;
151;Mange tes morts ;Expressions préférées;0x;P10;1;verre bartender ;13;1;50;4;41507;1;P;10;
152;Bananator;signature;0x;B72;1;"verre tiki gd/cerise en hors shaker/verre à pied/glace pilée

";12;1;50;5;41518;1;B;72;
153;Clak 1 coup le pere;signature;0x;B7;1;;12;1;50;6;41487;1;B;7;
154;Où niche l'hibou;Expressions préférées;0x;P14;1;verre fist;13;1;75;7;41504;1;P;14;
155;Non mais hallo quoi;mojito party;0x;M46;1;"verre hanse-cognac/menthe fraiche/piler/broyeur/glace pilée

10 mix z2w(sour)+2 triple sec+2jack honey+limonade";12;1;50;6;41557;1;M;46;
156;Pas pour l'instant;signature;0x;B76;1;verre cognac/5 mix tgv;12;1;50;6;41456;1;B;76;
157;Dragon punch;signature;0x;B77;1;verre tiki gd;12;1;65;5;41456;1;B;77;
158;Bijou;Sweety;0x;S7;1;verre palladio;15;1;50;4;41579;1;S;7;
159;Mon precieux;Expressions préférées;0x;P17;1;verre weizenbeer ;13;1;75;7;41562;1;P;17;
160;Stoemeling;signature;0x;B8;1;verre tiki gd;12;1;50;5;38838;1;B;8;
161;Max de BANANA BEACH;hardcore;0x;Y0L;1;verre monster ;25;1;75;7;41562;1;Y;0;L
162;Caresses;signature;0x;B9;1;"Verre à cabernet/glace pilée

";12;1;50;5;40544;1;B;9;
163;Daktarin;pharmacocktailerie;0x;C1;1;verre E18;13;1;50;6;38838;1;C;1;
164;intra vénéneuse;pharmacocktailerie;0x;C10;1;"verre palladio

";13;1;50;4;40299;1;C;10;
165;Tribulus;pharmacocktailerie;0x;C11;1;verre weizenbeer ;13;1;75;7;40299;1;C;11;
166;Babyboom chaud ou froid ;pharmacocktailerie;0x;C12;1;"biberon/ chaud ou froid

";15;1;50;12;38838;1;C;12;
167;Homéopathie;pharmacocktailerie;0x;C13;1;verre bartender;12;1;75;7;38838;1;C;13;
168;Primperan;pharmacocktailerie;0x;C14;1;verre E18;12;1;50;6;39569;1;C;14;
169;kisqali;pharmacocktailerie;0x;C15;1;verre E18/2s framboise+12cl mix Z2c(b1):10cl +limonade;12;1;50;6;39203;1;C;15;
170;levovetiricine;pharmacocktailerie;0x;C16;1;"verre weizenbeer/shaker

";15;1;75;7;40664;1;C;16;
171;Valium;pharmacocktailerie;0x;C17;1;"verre skull/liqueur fruits au choix/ pipettes d'absynthe eco

prix fast 15euro";12;1;65;5;38838;1;C;17;
172;anti stress;pharmacocktailerie;0x;C18;1;verre skull;12;1;65;5;38473;1;C;18;
173;Asaflow;pharmacocktailerie;0x;C19;1;"verre weizenbeer/glace pilée/fluo

";13;1;75;7;40664;1;C;19;
174;Croisiere s'amuse;grand format;0x;Z5L;1;"arrosoir

";25;1;200;15;39934;1;Z;5;L
175;Motilium;pharmacocktailerie;0x;C20;1;coupe a glace plate ;13;1;65;5;39569;1;C;20;
176;c-Will;pharmacocktailerie;0x;C21;1;verre E8/mix tgv;13;1;75;7;39569;1;C;21;
177;Apranax;pharmacocktailerie;0x;C22;1;"verre ananas/shaker

";12;1;50;5;38838;1;C;22;
178;Dafalgan;pharmacocktailerie;0x;C23;1;verre sangria ;12;1;50;5;40664;1;C;23;
179;Korsakov;pharmacocktailerie;0x;C24;1;verre cognac;12;1;50;6;38838;1;C;24;
180;Dipidolor;pharmacocktailerie;0x;C25;1;verre weizenbeer;13;1;50;7;40299;1;C;25;
181;Sparadrap;pharmacocktailerie;0x;C26;1;verre skull;12;1;50;6;38108;1;C;26;
182;Life extension;pharmacocktailerie;0x;C27;1;verre weizenbeer ;12;1;75;7;38838;1;C;27;
183;medrol;pharmacocktailerie;0x;C28;1;"verre palladio/glace pilée/shaker

";15;1;50;4;41580;1;C;28;
184;Baume du tigre;pharmacocktailerie;0x;C29;1;verre cabernet/shaker/facon colada ;12;1;65;5;38838;1;C;29;
185;Fucidine;pharmacocktailerie;0x;C3;1;verre coupe à glace/mixz2c(b1):10cl+ 2 s bbl gum+limonade;12;1;50;6;38838;1;C;3;
186;Mamouth;grand format;0x;Z5Q;0;"arrosoir

";25;1;200;15;39569;1;Z;5;Q
187;Hémoglobine;pharmacocktailerie;0x;C31;1;"verre weizenbeer/glace pilée/fluo

";13;1;75;7;39934;1;C;31;
188;Movicol;pharmacocktailerie;0x;C32;1;verre palladio;12;1;50;4;38838;1;C;32;
189;iso-bétadine;pharmacocktailerie;0x;C33;1;verre tiki gd;12;1;50;5;38838;1;C;33;
190;Quercetine;pharmacocktailerie;0x;C34;1;"verre sangria/shaker sauf curaçao bleu

";12;1;65;5;38838;1;C;34;
191;Aureliz;pharmacocktailerie;0x;C35;1;"verre palladio

";13;1;50;4;38838;1;C;35;
192;Dopamine;pharmacocktailerie;0x;C36;1;;12;1;50;5;39203;1;C;36;
193;Morphine;pharmacocktailerie;0x;C37;1;verre skull;12;1;50;6;38838;1;C;37;
194;Poppers;grand format;0x;Z5R;0;"glace pilée/fluo

";90;1;1000;11;40299;1;Z;5;R
195;Magnésium;pharmacocktailerie;0x;C39;1;verre palladio;13;1;50;4;40299;1;C;39;
196;éthylo-test Fline box;pharmacocktailerie;0x;C4;1;verre palladio;13;1;75;7;39203;1;C;4;
197;Cedocar;pharmacocktailerie;0x;C40;1;verre sangria;13;1;75;7;40664;1;C;40;
198;maître Troubadour gris ;mojito party;0x;M20;1;verre bartender*10cl mix Z2e(b51)+2 s bubblegum+menthe fraiche et broyer ensuite glace pilee+bulles+jus fraise;13;1;50;4;40210;1;M;20;
199;Ordonnance;pharmacocktailerie;0x;C5;1;verre skull;12;1;50;6;38838;1;C;5;
200;Viazak;pharmacocktailerie;0x;C7;1;verre sangria;12;1;50;5;38838;1;C;7;
201;Bronchaleine;pharmacocktailerie;0x;C8;1;verre palladio/glace pilée/fluo;13;1;50;4;40299;1;C;8;
202;Doliprane;pharmacocktailerie;0x;C9;1;verre weizenbeer ;12;1;75;7;40299;1;C;9;
203;Eternal Sunshine;films & series incontournables;0x;D1;1;verre weizenbeer;13;1;75;7;41112;1;D;1;
204;Limith Less;films & series incontournables;0x;D10;1;verre bartender ;12;1;150;9;39934;1;D;10;
205;Cartel;films & series incontournables;0x;D11;1;verre sangria ;12;1;50;5;39569;1;D;11;
206;Amélie poulain;films & series incontournables;0x;D12;1;verre tiki pt;12;1;50;5;39934;1;D;12;
207;C'est arrivé près de chez vous;films & series incontournables;0x;D13;1;verre tiki gd ;13;1;65;5;39203;1;D;13;
208;Matrix;films & series incontournables;0x;D14;1;verre tiki pt ;12;1;65;5;39569;1;D;14;
209;Snatch;films & series incontournables;0x;D15;1;verre palladio;13;1;50;4;39569;1;D;15;
210;Dobberman;films & series incontournables;0x;D16;1;verre weizenbeer;15;1;75;7;40299;1;D;16;
211;LoiS de l'attraction;films & series incontournables;0x;D17;1;verre palladio;13;1;50;4;39934;1;D;17;
212;Guerre des mondes;films & series incontournables;0x;D18;1;verre tiki pt ;12;1;65;5;39569;1;D;18;
213;Total recall;films & series incontournables;0x;D19;1;"glace pilée/fluo

";13;1;75;7;40299;1;D;19;
214;Réservoir dogs;films & series incontournables;0x;D2;1;verre bartender ;12;1;65;5;38838;1;D;2;
215;Constantine;films & series incontournables;0x;D20;1;verre bartender ;12;1;65;5;39934;1;D;20;
216;Scarface;films & series incontournables;0x;D21;1;verre sangria ;13;1;50;5;39569;1;D;21;
217;Adaptation;films & series incontournables;0x;D22;1;verre tiki pt ;12;1;50;5;39934;1;D;22;
218;Kill Bill;films & series incontournables;0x;D23;1;verre palladio;13;1;50;4;39934;1;D;23;
219;Enter the void;films & series incontournables;0x;D24;1;verre bartender ;12;1;50;5;39569;1;D;24;
220;Silence des agneaux;films & series incontournables;0x;D25;1;;12;1;65;5;39569;1;D;25;
221;Crazy bear;films & series incontournables;0x;D26;1;verre Monster /10cl mix z2d(e13)+monster+cava+manzana;15;1;50;6;39934;1;D;26;
222;Troupe d'élite;films & series incontournables;0x;D27;1;verre palladio;13;1;50;4;39934;1;D;27;
223;Les rois du désert;films & series incontournables;0x;D28;1;verre coupe plate ;12;1;50;6;40299;1;D;28;
224;Mission impossible ;films & series incontournables;0x;D29;1;verre coupe a glace ;12;1;50;6;40664;1;D;29;
225;Sin city;films & series incontournables;0x;D3;1;verre weizenbeer;13;1;75;7;39569;1;D;3;
226;American Beauty;films & series incontournables;0x;D30;1;verre cabernet;13;1;50;6;40664;1;D;30;
227;Saw;films & series incontournables;0x;D31;1;verre organique -monster ;15;1;75;7;40664;1;D;31;
228;Drifters;freaky;0x;L5;1;verre bocal/facon freaky/bien melanger ;15;1;50;6;40664;1;L;5;
229;Barbie la morte;freaky;0x;L6;1;verre strier/facon freaky/bien melanger ;15;1;50;6;40299;1;L;6;
230;Gentlemen;films & series incontournables;0x;D34;1;verre cognac;12;1;50;6;40299;1;D;34;
231;Very Bad Trip;films & series incontournables;0x;D35;1;verre cognac/3 pipettes absynthe 89;13;1;50;4;40664;1;D;35;
232;iron man;films & series incontournables;0x;D36;1;verre palladio;13;1;50;4;40665;1;D;36;
233;Point break;films & series incontournables;0x;D37;1;skull;13;1;50;6;40299;1;D;37;
234;destination Grace Land ;films & series incontournables;0x;D38;1;verre cognac ;12;1;50;6;40299;1;D;38;
235;Domino;films & series incontournables;0x;D39;1;verre cabernet/2s bbl gum+8mix z2e(b51)+2L ananas+jus fraise ;12;1;50;5;40664;1;D;39;
236;kingsman;ginto&Co;0x;K17;1;verre cognac ;13;1;50;6;39203;1;K;17;
237;Triplettes de belle ville;films & series incontournables;0x;D40;1;verre disque ;12;1;50;5;39935;1;D;40;
238;inglorious bastard;films & series incontournables;0x;D41;1;verre palladio;15;1;50;4;40696;1;D;41;
239;Ocean eleven;films & series incontournables;0x;D42;1;verre palladio;15;1;50;4;39934;1;D;42;
240;Jumanji;films & series incontournables;0x;D43;1;verre disque ;13;1;75;7;39934;1;D;43;
241;Brain dead;films & series incontournables;0x;D44;1;verre palladio;15;1;50;4;40664;1;D;44;
242;Avatar;films & series incontournables;0x;D45;1;verre weizenbeer;15;1;75;7;40299;1;D;45;
243;Citizen ken;films & series incontournables;0x;D46;1;verre tiki pt ;12;1;65;5;40664;1;D;46;
244;Pirates des Caraïbes;films & series incontournables;0x;D47;1;verre cabernet;12;1;65;5;40299;1;D;47;
245;Sex pistols;hardcore;0x;Y3;1;verre fist/facon fraky ;25;1;75;7;40664;1;Y;3;
246;Ma femme s'appelle Maurice ;films & series incontournables;0x;D49;1;verre palladio;15;1;50;4;40299;1;D;49;
247;Nikita;films & series incontournables;0x;D5;1;verre tiki gd;12;1;50;5;39934;1;D;5;
248;Prometheus;films & series incontournables;0x;D50;1;coupe plate ;12;1;65;5;40299;1;D;50;
249;inception;films & series incontournables;0x;D51;1;;12;1;50;6;40575;1;D;51;
250;Requiem for a dream;films & series incontournables;0x;D52;1;verre weizenbeer;13;1;50;4;40210;1;D;52;
251;Léon;films & series incontournables;0x;D53;1;verre weizenbeer;15;1;75;7;39845;1;D;53;
252;Bernie;films & series incontournables;0x;D54;1;verre disque ;15;1;50;6;40210;1;D;54;
253;Fast and furious;films & series incontournables;0x;D55;1;verre weizenbeer;13;1;50;7;40575;1;D;55;
254;Dark city;films & series incontournables;0x;D56;1;verre palladio;15;1;50;4;40210;1;D;56;
255;Strange day's;films & series incontournables;0x;D57;1;verre E18;12;1;65;5;40210;1;D;57;
256;american psycho;films & series incontournables;0x;D58;1;verre weizenbeer;15;1;75;7;40210;1;D;58;
257;Peur au ventre;films & series incontournables;0x;D59;1;verre weizenbeer;13;1;75;7;41112;1;D;59;
258;Las Vegas parano;films & series incontournables;0x;D6;1;verre coupe a glace ;12;1;50;5;39934;1;D;6;
259;Planète terror;films & series incontournables;0x;D60;1;verre coupe a glace ;12;1;50;6;41112;1;D;60;
260;Boulevard de la mort;freaky;0x;L15;1;verre strier/facon freaky/bien melanger ;15;1;50;4;41112;1;L;15;
261;Mirror the mask;films & series incontournables;0x;D62;1;verre cabernet;12;1;50;6;41112;1;D;62;
262;Heat;films & series incontournables;0x;D63;1;verre palladio;15;1;50;4;41112;1;D;63;
263;James bond;freaky;0x;L3;1;verre palladio/facon freaky/bien melanger ;15;1;50;4;41112;1;L;3;
264;Usual suspect;films & series incontournables;0x;D65;1;verre sangria ;12;1;50;6;41112;1;D;65;
265;Salton sea;films & series incontournables;0x;D66;1;verre diamant lg/facon freaky/bien melanger ;15;1;50;4;41112;1;D;66;
266;Avengers;films & series incontournables;0x;D67;1;verre coupe a glace/shaker ;13;1;75;7;41112;1;D;67;
267;how High;films & series incontournables;0x;D68;1;verre bartender ;13;1;50;4;41112;1;D;68;
268;The mask;films & series incontournables;0x;D69;1;verre bartender ;12;1;50;1;41112;1;D;69;
269;Corto maltese;films & series incontournables;0x;D7;1;"verre b91/

";13;1;50;4;41110;1;D;7;
270;Loopers;films & series incontournables;0x;D70;1;skull;12;1;50;6;41112;1;D;70;
271;51ème état;films & series incontournables;0x;D8;1;"verre bartender 

";13;1;50;4;39934;1;D;8;
272;Orange mécanique;films & series incontournables;0x;D9;1;verre tiki gd;12;1;50;5;39934;1;D;9;
273;LSD;drugs;0x;E1;1;verre tiki gd;12;1;50;6;38749;1;E;1;
274;MDMA;drugs;0x;E10;1;;13;1;75;7;40210;1;E;10;
275;Nitazène;drugs;0x;E11;1;verre cabernet ;12;1;65;5;39845;1;E;11;
276;Opium;drugs;0x;E12;1;verre ananas ;12;1;75;7;39845;1;E;12;
277;Ebola;drugs;0x;E13;1;verre Weizenbeer/mix z2D:10cl+energy+methode champ;13;1;75;7;39479;1;E;13;
278;Thc;drugs;0x;E14;1;verre tiki pt;12;1;65;5;39479;1;E;14;
279;Ricin;drugs;0x;E15;1;verre bartender ;12;1;50;5;39479;1;E;15;
280;Saugelum Mexican;drugs;0x;E16;1;verre sangria ;12;1;50;5;39479;1;E;16;
281;Space cake;drugs;0x;E17;1;verre weizenbeer ;13;1;75;7;39845;1;E;17;
282;Cocaine;drugs;0x;E18;1;verre E18/mix z2g: 10cl+limonade;12;1;50;6;40575;1;E;18;
283;Heroine;drugs;0x;E19;1;verre palladio;13;1;50;4;40575;1;E;19;
284;Flakka;drugs;0x;E2;1;verre palladio;13;1;50;4;38749;1;E;2;
285;Epifedrine;drugs;0x;E20;1;verre ananas/shaker fort;12;1;50;6;40575;1;E;20;
286;captagon;drugs;0x;E21;1;verre sangria ;15;1;50;4;40575;1;E;21;
287;Krokodil;drugs;0x;E22;1;verre ananas;12;1;65;5;41562;1;E;22;
288;Crystal meths;drugs;0x;E23;1;verre bartender;12;1;50;6;41562;1;E;23;
289;Nicotine;drugs;0x;E24;1;verre bartender ;12;1;50;6;41580;1;E;24;
290;Tv realite;drugs;0x;E25;1;verre cognac;12;1;50;6;41580;1;E;25;
291;Extasy;drugs;0x;E3;1;verre cabernet;12;1;65;5;39114;1;E;3;
292;Kobolo;drugs;0x;E4;1;verre coupe a glace ;12;1;65;5;39114;1;E;4;
293;kétamine;drugs;0x;E5;1;"verre cabernet/glace pilée

";12;1;50;5;39845;1;E;5;
294;L'Amour;drugs;0x;E6;1;"verre sangria shaker sauf liqueur curaçao bleu 

";12;1;65;5;39479;1;E;6;
