ID;Nom;Categorie;Photo;Reference;EstDansCarte;Remarque;Sync_Prix;EstCocktail;Quantite;ID_VERRE;DateCreation;estBrochette;Ref_Lettre;Ref_Chiffre;Ref_DerniereLettre
1402;Boulaga;tequilaterie;0x;J15;1;verre palladio;13;1;50;4;;1;J;15;
1403;Bidasse;vodkaterie;0x;H35;1;verre palladio;13;1;50;4;;1;H;35;
1404;Pepette;vodkaterie;0x;H34;1;verre palladio;13;1;65;5;;1;H;34;
1405;Jean-jean;rhumerie;0x;I39;1;verre tiki pt;12;1;65;5;;1;I;39;
1406;irish coffee event 25cl;hot;0x;O1A;0;chauffer mixture +cafe+chantilly+paille bambou+1 chocolat du moment;6;1;65;5;;1;O;1;A
1408;Coco charnelle;freaky;0x;L1D;1;verre weizenbeer ;20;1;75;7;;1;L;1;D
1409;Barbenheimer;films & series incontournables;0x;D86;1;verre weizenbeer/nenette + barbe a papa rose et deco rose;15;1;50;4;;1;D;86;
1410;Antenne  fantomas;antenne livraison;0x;W1;0;;13;1;150;9;;0;W;1;
1411;Outsider;freaky;0x;L1E;1;verre strier/facon freaky/bien melanger /10cl Z2X(mix capone)+2 s popcorn+cafe glace+chantilly+deco freaky + ferrero glace;15;1;75;7;;1;L;1;E
1412;Antenne narco;antenne livraison;0x;W2;0;;11;1;150;9;;0;W;2;
1413;Antenne bebe d ange;antenne livraison;0x;W3;0;;13;1;150;9;;1;W;3;
1414;Antenne bonobo;antenne livraison;0x;W4;0;;11;1;150;9;;0;W;4;
1415;Antenne ava-conda;antenne livraison;0x;W6;0;;13;1;150;9;;1;W;6;
1416;Antenne peche mel-badass;antenne livraison;0x;W7;0;;12;1;150;9;;1;W;7;
1417;Antenne dechire tout;antenne livraison;0x;W11;0;;12;1;150;9;;0;W;11;
1418;Antenne  ebola;antenne livraison;0x;W12;0;;13;1;150;9;;0;W;12;
1419;Antenne cocaine;antenne livraison;0x;W13;0;;12;1;150;9;;0;W;13;
1420;Antenne  red mojito;antenne livraison;0x;W14;0;;12;1;150;9;;0;W;14;
1421;Antenne   wisky sour;antenne livraison;0x;W15;0;;12;1;150;9;;0;W;15;
1422;Antenne barbar;antenne livraison;0x;W16;0;;11;1;150;9;;0;W;16;
1423;Antenne copacabana;antenne livraison;0x;W17;0;;12;1;150;9;;0;W;17;
1424;Antenne capone;antenne livraison;0x;W5;0;;15;1;150;9;;0;W;5;
1425;Antenne resident alien;antenne livraison;0x;W19;0;;15;1;150;9;;0;W;19;
1426;Antenne saperlipopette;antenne livraison;0x;W20;0;;13;1;150;9;;0;W;20;
1427;Antenne fleur de toi;antenne livraison;0x;W21;0;;15;1;150;9;;0;W;21;
1428;Antenne chaude patate;antenne livraison;0x;W23;0;;15;1;150;9;;0;W;23;
1429;Antenne tortue geniale;antenne livraison;0x;W25;0;nenette;13;1;150;9;;1;W;25;
1430;Antenne cunningham;antenne livraison;0x;W26;0;;13;1;150;9;;0;W;26;
1431;Antenne sodomie anecdotique;antenne livraison;0x;W27;0;bibite;15;1;150;9;;0;W;27;
1432;Antenne dunkerque;antenne livraison;0x;W32;0;desperados fermee dans pack;15;1;150;9;;0;W;32;
1433;Antenne tintin en absurdie;antenne livraison;0x;W29;0;desperados fermee ds pack;15;1;150;9;;1;W;29;
1434;Antenne bondage ;antenne livraison;0x;W35;0;dsp fermee dans pack;15;1;150;9;;0;W;35;
1435;Antenne pinkette margarita;antenne livraison;0x;W34;0;;13;1;150;9;;0;W;34;
1436;Antenne tintin en walbanie;antenne livraison;0x;W30;0;dsp fermee ds pack;20;1;150;9;;0;W;30;
1437;Antenne komparazar;antenne livraison;0x;W36;0;;15;1;150;9;;0;W;36;
1438;Antenne bagarre;antenne livraison;0x;W31;0;dsp fermee ds pack;15;1;150;9;;0;W;31;
1439;Antenne splattering;antenne livraison;0x;W37;0;;15;1;150;9;;0;W;37;
1440;invasion;films & series incontournables;0x;D99;1;skull/3 pipettes absynthe 89;13;1;50;4;;1;D;99;
1441;Gen V;films & series incontournables;0x;D101;1;verre E18;15;1;50;6;;1;D;101;
1442;MEGA shooter 25cl Serum PX-41;megashooter;0x;Z4F;1;;12,5;1;150;9;;1;Z;4;F
1443;irish au litre;hot;0x;O1G;1;verre caraffe/flamber mixture +cafe+chantilly;25;1;100;10;;1;O;1;G
1444;Breaking bad;films & series incontournables;0x;D100;1;verre disque ;13;1;50;6;;1;D;100;
1445;Game of thrones;mojito party;0x;M28;1;verre E18/facon mojito;12;1;50;6;;1;M;28;
1446;Only God forgives ;mojito party;0x;M27;1;verre E18;12;1;50;6;;1;M;27;
1447;Creve coeur;tequilaterie;0x;J30;1;;15;1;50;6;;1;J;30;
1448;bouteille alcool 70cl au choix;les softs, bieres, vins,...;0x;A2V;1;seau glacon+soft+verres;60;1;150;9;;1;A;2;V
1449;Jack Fire et Ginger;jackdanielserie;0x;F7C;1;verre lynchburg hanse /demi bt ginger beer ;10;1;50;6;;1;F;7;C
1450;Popey (!!-16ans);Mocktail;0x;A122;1;verre strier +nenette en deco ;10;1;100;8;;1;A;122;
1451;Pierrafeu (-16ans!!);Mocktail;0x;A123;1;verre tour a empiler +nenette en deco;10;1;100;8;;1;A;123;
1452;Gi Joe;Mocktail;0x;A124;1;verre boule sa;10;1;100;8;;1;A;124;
1453;Strawberry gin FiZZ;ginto&co;0x;K15;1;verre ginto/shaker sans l eau petillante puis verser dans verre et completer avec eau pet;13;1;65;5;;1;K;15;
1454;Forain;Sweety;0x;S6;1;verre palladio;15;1;50;4;;1;S;6;
1455;Dune;films & series incontournables;0x;D87;1;verre weizenbeer;13;1;75;7;;1;D;87;
1456;Les dents de la Mer;films & series incontournables;0x;D88;1;verre weizenbeer;13;1;50;4;;1;D;88;
1457;Under the silver lake;signature;0x;B117;1;verre ananas;13;1;50;6;;1;B;117;
1458;Hourra;Expressions préférées;0x;P1;1;verre monster organique ;15;1;75;7;;1;P;1;
1459;C'est pas le castor le plus utile du barrage;mojito party;0x;M15;1;verre Weizenbeer/facon mojito;13;1;75;7;;1;M;15;
1460;C'est pas la truite la plus oxygénée de la rivière;Expressions préférées;0x;P5;1;verre coupe a glace shaker fort / facon colada ;12;1;65;5;;1;P;5;
1461;imatoumi;bonheur en concentré;0x;P37;1;verre ananas;13;1;65;5;;1;P;37;
1462;Le petit Prince;Mocktail;0x;A125;1;verre boule sa/melanger vigoureusement;10;1;100;8;;1;A;125;
1463;Gamelle de l'enfer 3en 1;vodkaterie;0x;H36;1;servir gamelle avec deja dedans le oldfashioned et qui lui contient 1 longdrink pour supporter le shooter 4cl(genre verres poupees russes) tous sur glace pilee sauf lond drink et shooter(diabolito=z2);30;1;200;15;;1;H;36;
1464;Gamelle pysskopath 3 en 1;vodkaterie;0x;H37;1;servir gamelle avec deja dedans le oldfashioned et qui lui contient 1 lonfdrink pour supporter le shooter 4cl(genre verres poupees russes) tous sur glace pilee sauf lond drink et shooter;30;1;200;15;;1;H;37;
1465;Gamelle à mimil 3 en 1;vodkaterie;0x;H38;1;servir gamelle avec deja dedans le oldfashioned et qui lui contient 1 lonfdrink pour supporter le shooter 4cl(genre verres poupees russes) tous sur glace pilee sauf lond drink et shooter;30;1;200;15;;1;H;38;
1466;Gamelle PooPoo 3 en 1;vodkaterie;0x;H39;1;servir gamelle avec deja dedans le oldfashioned et qui lui contient 1 lonfdrink pour supporter le shooter 4cl(genre verres poupees russes) tous sur glace pilee sauf lond drink et shooter;30;1;200;15;;1;H;39;
1467;Tiger Milk;tequilaterie;0x;J16;1;verre bartender/shaker fort+strainer ;12;1;35;3;;1;J;16;
1468;inspecteur gadget;Mocktail;0x;A126;1;verre strier ;10;1;100;8;;1;A;126;
1469;Le faible des fèves;les anecdotiques;0x;V26;1;verre cabernet;12;1;65;5;;1;V;26;
1470;La bourle;les anecdotiques;0x;V71;1;;12;1;65;5;;1;V;71;
1471;madeleine de Proust;vodkaterie;0x;H40;1;verre coupe a glace /shaker;12;1;65;5;;1;H;40;
1472;Sweet dreams;Sweety;0x;S57;1;verre palladio;15;1;50;4;;1;S;57;
1473;Mât de laine;freaky;0x;L30;1;verre strier/facon freaky/bien melanger ;15;1;75;7;;1;L;30;
